species,social_system,sample_size,body_mass,ML_rc,ML_exp,ML_rs,sample_size_exact
Heterocephalus_glaber,Social,Large,45,37,8.7,422,3568
Fukomys_mechowii,Social,Medium,378,26,12.1,215,229
Fukomys_anselli,Social,Medium,90,21.5,9.71,221,339
Fukomys_damarensis,Social,Large,180,20,10.8,185,NA
Fukomys_darlingi,social,medium,110,17.8,10.02,178,113
Cryptomys_hottentotus,Social,Small,90,11,9.71,113,NA
Heliophobius_argenteocinereus,Solitary,Medium,200,14.6,10.97,133,101
Georychus_capensis,Solitary,Small,181,11.2,10.81,103,NA
Bathyergus_suillus,Solitary,Small,780,6,13.52,44,NA

